                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8021,                 3.9434,                 4.2201,                0.00667,                      1,                0.00788,                0.00417,                 2.7233,                  3.518,                 4.1586,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.9846,                 3.8714,                 4.2636,                0.00667,                      1,                0.00957,                0.00377,                 2.7233,                 3.5177,                 4.1583,             4.9985e-05,             4.9985e-05,             4.9985e-05
                      3,                 3.0495,                 4.0708,                 4.2294,                0.00667,                      1,                0.01187,                 0.0035,                 2.7237,                 3.5192,                 4.1577,             8.3267e-05,             8.3267e-05,             8.3267e-05
                      4,                 2.9912,                 4.0229,                  4.236,                0.00667,                      1,                0.03295,                0.00579,                 2.7237,                 3.5175,                 4.1568,             0.00011652,             0.00011652,             0.00011652
                      5,                  2.596,                 3.8535,                 4.2338,                0.00667,                      1,                 0.0285,                0.00531,                 2.7193,                 3.5153,                  4.156,             0.00014973,             0.00014973,             0.00014973
                      6,                 3.1036,                 3.9392,                 4.1874,                0.00674,                      1,                0.06342,                0.00888,                 2.7153,                  3.512,                  4.154,             0.00018292,             0.00018292,             0.00018292
                      7,                 2.9378,                  3.831,                 4.1903,                0.00673,                      1,                0.00984,                0.00485,                 2.7135,                 3.5368,                 4.1518,             0.00021607,             0.00021607,             0.00021607
                      8,                 2.8795,                 3.8023,                 4.1899,                0.00675,                      1,                0.06392,                0.00909,                 2.7105,                 3.5387,                 4.1482,             0.00024918,             0.00024918,             0.00024918
                      9,                 2.9085,                 3.7933,                 4.1329,                0.00672,                      1,                0.01346,                0.00485,                 2.7077,                 3.5372,                  4.145,             0.00028227,             0.00028227,             0.00028227
                     10,                  3.062,                 3.8432,                 4.1627,                0.00673,                      1,                0.01038,                0.00596,                 2.7032,                 3.5348,                 4.1414,             0.00031532,             0.00031532,             0.00031532
                     11,                 3.1328,                  3.827,                 4.1401,                0.00672,                      1,                0.01348,                0.00573,                 2.6941,                 3.5334,                  4.138,             0.00034834,             0.00034834,             0.00034834
                     12,                 2.8199,                  3.831,                 4.1384,                0.00673,                      1,                0.00894,                0.00354,                 2.6929,                 3.5318,                 4.1324,             0.00038132,             0.00038132,             0.00038132
                     13,                 3.1859,                 4.0217,                 4.1569,                0.00673,                      1,                0.00942,                0.00346,                  2.688,                 3.5285,                 4.1276,             0.00041427,             0.00041427,             0.00041427
                     14,                 2.7946,                 3.7861,                  4.116,                0.00669,                      1,                0.01158,                0.00357,                  2.682,                 3.5252,                 4.1207,             0.00044719,             0.00044719,             0.00044719
                     15,                 2.9017,                 3.7392,                 4.1089,                 0.0067,                      1,                0.01205,                0.00434,                 2.6717,                 3.5482,                 4.1137,             0.00048008,             0.00048008,             0.00048008
                     16,                 2.7624,                 3.6732,                 4.0644,                 0.0067,                      1,                0.01007,                0.00318,                 2.6622,                 3.5417,                 4.1041,             0.00051293,             0.00051293,             0.00051293
                     17,                 2.8205,                 3.8003,                 4.0884,                0.00673,                      1,                0.00987,                0.00361,                 2.6506,                 3.5385,                 4.0947,             0.00054575,             0.00054575,             0.00054575
                     18,                 3.0219,                 3.7384,                 4.1093,                0.00673,                      1,                0.01129,                0.00402,                  2.631,                 3.5345,                 4.0827,             0.00057854,             0.00057854,             0.00057854
                     19,                 2.6879,                 3.7013,                 4.0613,                0.00668,                      1,                0.01282,                0.00496,                 2.6088,                  3.535,                 4.0695,             0.00061129,             0.00061129,             0.00061129
                     20,                 2.7704,                 3.7214,                  4.064,                0.00667,                      1,                0.01088,                0.00415,                 2.6219,                 3.4026,                 4.0658,             0.00064402,             0.00064402,             0.00064402
                     21,                 2.7123,                 3.7739,                 4.0011,                0.00668,                      1,                 0.0113,                0.00434,                 2.6534,                 3.4082,                 4.0713,              0.0006767,              0.0006767,              0.0006767
                     22,                 2.5854,                 3.4899,                  3.959,                0.00667,                      1,                0.01252,                0.00363,                 2.7192,                 3.4222,                 4.0981,             0.00070936,             0.00070936,             0.00070936
                     23,                 2.7907,                 3.6596,                 3.9984,                0.00667,                      1,                0.01255,                0.00409,                 2.7723,                 3.4188,                 4.1245,             0.00074198,             0.00074198,             0.00074198
                     24,                 2.8617,                 3.4994,                 3.9163,                 0.0067,                      1,                0.01321,                0.00402,                 2.8079,                 3.4442,                 4.1453,             0.00077457,             0.00077457,             0.00077457
                     25,                 2.9579,                 3.6885,                 3.9338,                 0.0067,                      1,                0.02368,                0.01445,                  2.839,                 3.4268,                 4.1567,             0.00080713,             0.00080713,             0.00080713
                     26,                 2.8127,                 3.5556,                 3.8216,                0.00669,                      1,                0.01883,                0.00457,                 2.8817,                 3.4386,                 4.1993,             0.00083965,             0.00083965,             0.00083965
                     27,                 2.6538,                 3.6378,                 3.7936,                 0.0067,                      1,                0.01366,                  0.003,                 2.9608,                 3.4681,                  4.333,             0.00087214,             0.00087214,             0.00087214
                     28,                 2.7161,                 3.4203,                 3.7284,                 0.0067,                      1,                0.01366,                  0.003,                 2.9608,                 3.4681,                  4.333,              0.0009046,              0.0009046,              0.0009046
                     29,                 2.8596,                 3.4906,                 3.7973,                0.00673,                      1,                0.01397,                0.00305,                 2.9925,                 3.6471,                 4.3944,             0.00093702,             0.00093702,             0.00093702
                     30,                 2.8905,                 3.3843,                 3.7119,                 0.0067,                      1,                0.01982,                0.00438,                 2.8735,                 3.6277,                 4.1585,             0.00096941,             0.00096941,             0.00096941
                     31,                 2.6599,                 3.4425,                 3.6264,                 0.0067,                      1,                0.01982,                0.00438,                 2.8735,                 3.6277,                 4.1585,              0.0010018,              0.0010018,              0.0010018
                     32,                 2.9519,                 3.8239,                 3.8065,                 0.0055,                0.83333,                0.02028,                0.00584,                 2.7051,                 3.4347,                 3.8231,              0.0010341,              0.0010341,              0.0010341
                     33,                 2.7077,                 3.5333,                 3.6746,                0.00676,                      1,                0.01774,                0.00394,                  2.978,                 3.3656,                 4.0766,              0.0010664,              0.0010664,              0.0010664
                     34,                 2.6344,                 3.3403,                 3.6107,                0.00676,                      1,                0.01774,                0.00394,                  2.978,                 3.3656,                 4.0766,              0.0010986,              0.0010986,              0.0010986
                     35,                 2.5112,                 3.2999,                 3.5561,                0.00686,                      1,                0.02024,                 0.0034,                  3.193,                  3.376,                  4.274,              0.0011309,              0.0011309,              0.0011309
                     36,                 2.6606,                 3.5047,                 3.5316,                0.00683,                      1,                0.04952,                0.01176,                 3.1086,                 3.2967,                 4.0263,              0.0011631,              0.0011631,              0.0011631
                     37,                  2.748,                 3.5058,                 3.5506,                0.00683,                      1,                0.04952,                0.01176,                 3.1086,                 3.2967,                 4.0263,              0.0011952,              0.0011952,              0.0011952
                     38,                 2.7178,                 3.5306,                 3.5642,                0.00671,                      1,                0.03761,                0.00934,                 2.8679,                 3.3289,                 3.7956,              0.0012274,              0.0012274,              0.0012274
                     39,                 2.7659,                 3.5391,                 3.5034,                0.00667,                      1,                 0.0217,                0.00366,                 3.7262,                 3.4206,                 5.2316,              0.0012594,              0.0012594,              0.0012594
                     40,                 2.4499,                 3.2977,                 3.3851,                0.00667,                      1,                 0.0217,                0.00366,                 3.7262,                 3.4206,                 5.2316,              0.0012915,              0.0012915,              0.0012915
                     41,                 2.5421,                 3.3369,                 3.4396,                0.00584,                0.83333,                0.01951,                0.00346,                 3.8868,                 3.5078,                 5.5156,              0.0013235,              0.0013235,              0.0013235
                     42,                 2.5255,                 3.2673,                 3.3574,                0.00738,                      1,                0.02642,                0.00435,                 3.8667,                 3.5234,                 5.4711,              0.0013555,              0.0013555,              0.0013555
                     43,                 2.4008,                 3.4125,                 3.4303,                0.00738,                      1,                0.02642,                0.00435,                 3.8667,                 3.5234,                 5.4711,              0.0013875,              0.0013875,              0.0013875
                     44,                  2.446,                 3.2957,                  3.432,                 0.0063,                0.83333,                0.01937,                0.00378,                  4.163,                 4.0336,                 5.9417,              0.0014194,              0.0014194,              0.0014194
                     45,                 2.5509,                 3.3053,                 3.4762,                 0.0063,                0.83333,                0.01937,                0.00378,                  4.163,                 4.0336,                 5.9417,              0.0014513,              0.0014513,              0.0014513
                     46,                 2.5279,                 3.3183,                 3.3667,                0.00594,                0.83333,                0.03686,                0.00473,                 4.1043,                  3.849,                 5.8401,              0.0014832,              0.0014832,              0.0014832
                     47,                 2.5109,                 3.1337,                 3.3497,                0.00594,                0.83333,                0.03686,                0.00473,                 4.1043,                  3.849,                 5.8401,               0.001515,               0.001515,               0.001515
                     48,                 2.5053,                  3.306,                 3.3815,                0.00695,                0.83333,                0.01669,                0.00287,                 3.7921,                 4.7207,                 4.8239,              0.0015468,              0.0015468,              0.0015468
                     49,                 2.6421,                 3.3949,                 3.5023,                0.00695,                0.83333,                0.01669,                0.00287,                 3.7921,                 4.7207,                 4.8239,              0.0015786,              0.0015786,              0.0015786
                     50,                 2.6882,                 3.3509,                 3.3808,                0.00782,                      1,                 0.0274,                0.00488,                 3.5335,                  7.021,                 4.4486,              0.0016103,              0.0016103,              0.0016103
                     51,                 2.6643,                 3.2985,                 3.4074,                0.00782,                      1,                 0.0274,                0.00488,                 3.5335,                  7.021,                 4.4486,              0.0016257,              0.0016257,              0.0016257
                     52,                 2.5501,                 3.3582,                 3.4321,                 0.5054,                0.33333,                0.03065,                0.00505,                 3.5755,                  9.455,                 4.5893,              0.0016257,              0.0016257,              0.0016257
                     53,                 2.6248,                 3.2591,                  3.427,                 0.5054,                0.33333,                0.03065,                0.00505,                 3.5755,                  9.455,                 4.5893,              0.0016249,              0.0016249,              0.0016249
                     54,                 2.4609,                 3.1811,                 3.1622,                0.00597,                0.83333,                0.10018,                  0.015,                 3.4968,                 4.4505,                 4.5429,              0.0016241,              0.0016241,              0.0016241
                     55,                 2.5562,                 3.2858,                 3.2899,                0.00597,                0.83333,                0.10018,                  0.015,                 3.4968,                 4.4505,                 4.5429,              0.0016233,              0.0016233,              0.0016233
                     56,                  2.517,                 3.3171,                 3.2576,                0.00117,                0.33333,                0.00647,                0.00134,                 2.9886,                 3.9284,                 4.3604,              0.0016224,              0.0016224,              0.0016224
                     57,                 2.5639,                 3.2955,                 3.2669,                0.00117,                0.33333,                0.00647,                0.00134,                 2.9886,                 3.9284,                 4.3604,              0.0016216,              0.0016216,              0.0016216
                     58,                 2.3557,                  3.096,                 3.2283,                0.01098,                    0.5,                0.02597,                0.00342,                 2.9813,                 3.9239,                 4.3734,              0.0016208,              0.0016208,              0.0016208
                     59,                   2.48,                 3.1727,                 3.2199,                0.01098,                    0.5,                0.02597,                0.00342,                 2.9813,                 3.9239,                 4.3734,                0.00162,                0.00162,                0.00162
                     60,                 2.4157,                 3.3907,                 3.2267,                0.00125,                0.33333,                  0.003,                0.00039,                 3.3505,                 3.9217,                 4.7389,              0.0016191,              0.0016191,              0.0016191
                     61,                 2.5236,                 3.2673,                 3.3076,                0.00125,                0.33333,                  0.003,                0.00039,                 3.3505,                 3.9217,                 4.7389,              0.0016183,              0.0016183,              0.0016183
                     62,                 2.4005,                 2.9923,                 3.2132,                0.00508,                0.66667,                0.00709,                0.00163,                 3.6577,                 3.8066,                 5.0236,              0.0016175,              0.0016175,              0.0016175
                     63,                 2.4923,                 3.0753,                  3.254,                0.00508,                0.66667,                0.00709,                0.00163,                 3.6577,                 3.8066,                 5.0236,              0.0016167,              0.0016167,              0.0016167
                     64,                 2.3972,                 3.0879,                 3.1086,                0.00479,                    0.5,                0.00738,                0.00209,                  4.215,                 3.8696,                 5.7685,              0.0016158,              0.0016158,              0.0016158
                     65,                 2.4025,                 3.1553,                 3.1856,                0.00479,                    0.5,                0.00738,                0.00209,                  4.215,                 3.8696,                 5.7685,               0.001615,               0.001615,               0.001615
                     66,                 2.4231,                 3.2058,                 3.2391,                  0.006,                0.66667,                0.01418,                0.00254,                   4.36,                  4.013,                 5.8541,              0.0016142,              0.0016142,              0.0016142
                     67,                 2.2852,                 3.0923,                 3.0624,                  0.006,                0.66667,                0.01418,                0.00254,                   4.36,                  4.013,                 5.8541,              0.0016134,              0.0016134,              0.0016134
                     68,                 2.3641,                 3.1011,                 3.1582,                0.00545,                    0.5,                0.01312,                0.00252,                  4.254,                 4.3079,                 5.4857,              0.0016125,              0.0016125,              0.0016125
                     69,                  2.353,                  3.142,                 3.0964,                0.00545,                    0.5,                0.01312,                0.00252,                  4.254,                 4.3079,                 5.4857,              0.0016117,              0.0016117,              0.0016117
                     70,                  2.544,                 3.2206,                 3.3224,                0.00646,                0.83333,                0.02297,                0.00413,                 3.8444,                 4.2133,                 5.2104,              0.0016109,              0.0016109,              0.0016109
                     71,                 2.4498,                 3.0998,                 3.1492,                0.00646,                0.83333,                0.02297,                0.00413,                 3.8444,                 4.2133,                 5.2104,              0.0016101,              0.0016101,              0.0016101
                     72,                 2.4405,                 3.0591,                   3.04,                0.00577,                0.83333,                0.06953,                 0.0086,                 3.4226,                 4.1608,                 4.4774,              0.0016092,              0.0016092,              0.0016092
                     73,                 2.2352,                 2.9165,                 3.0079,                0.00577,                0.83333,                0.06953,                 0.0086,                 3.4226,                 4.1608,                 4.4774,              0.0016084,              0.0016084,              0.0016084
                     74,                 2.2203,                 3.0052,                 3.1027,                0.00551,                0.83333,                 0.0328,                0.00652,                 3.1694,                 4.5048,                 4.0662,              0.0016076,              0.0016076,              0.0016076
                     75,                 2.3146,                 2.9632,                 3.0822,                0.00551,                0.83333,                 0.0328,                0.00652,                 3.1694,                 4.5048,                 4.0662,              0.0016068,              0.0016068,              0.0016068
                     76,                 2.3158,                 3.2118,                 3.0782,                0.07222,                    0.5,                 0.0599,                0.02294,                 3.2082,                 5.2685,                 4.2104,              0.0016059,              0.0016059,              0.0016059
