                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51145,                 1.0797,                 1.0897,                0.97226,                0.83333,                0.95375,                0.79932,                0.66375,                   1.66,                 1.3544,             0.00076306,             0.00076306,             0.00076306
                     36,                 0.6451,                 1.2536,                 1.2475,                0.90928,                0.83333,                  0.929,                 0.6217,                  0.983,                 2.0168,                 1.6985,             0.00077346,             0.00077346,             0.00077346
                     37,                0.68168,                 1.3073,                 1.3012,                0.90928,                0.83333,                  0.929,                 0.6217,                  0.983,                 2.0168,                 1.6985,              0.0007832,              0.0007832,              0.0007832
                     38,                0.63842,                 1.3269,                 1.2408,                0.82644,                0.83333,                0.95375,                0.58507,                 1.2341,                 2.2945,                 2.2341,             0.00079228,             0.00079228,             0.00079228
                     39,                0.60439,                  1.149,                 1.2084,                0.82175,                0.98918,                  0.995,                0.57298,                 1.3422,                  2.062,                  2.392,              0.0008007,              0.0008007,              0.0008007
                     40,                0.52756,                 1.1514,                 1.1251,                0.82175,                0.98918,                  0.995,                0.57298,                 1.3422,                  2.062,                  2.392,             0.00080846,             0.00080846,             0.00080846
                     41,                0.61067,                 1.1264,                 1.2421,                0.92036,                0.92408,                  0.995,                0.48724,                 1.4653,                  2.325,                 2.8461,             0.00081556,             0.00081556,             0.00081556
                     42,                0.54992,                 1.2112,                 1.1728,                0.94074,                0.98508,                  0.995,                0.58485,                 1.1739,                 2.0768,                 2.5812,               0.000822,               0.000822,               0.000822
                     43,                0.64127,                 1.1484,                 1.2568,                0.94074,                0.98508,                  0.995,                0.58485,                 1.1739,                 2.0768,                 2.5812,             0.00082778,             0.00082778,             0.00082778
                     44,                0.62383,                 1.0934,                 1.2212,                0.98166,                      1,                  0.995,                0.75531,                 0.7431,                 1.4077,                 1.5744,              0.0008329,              0.0008329,              0.0008329
                     45,                0.66199,                 1.1498,                 1.2179,                0.98166,                      1,                  0.995,                0.75531,                 0.7431,                 1.4077,                 1.5744,             0.00083736,             0.00083736,             0.00083736
                     46,                0.70883,                 1.2363,                 1.3017,                 0.9826,                      1,                  0.995,                0.82348,                0.65019,                 1.1641,                 1.4828,             0.00084116,             0.00084116,             0.00084116
                     47,                  0.595,                 1.0527,                 1.1718,                 0.9826,                      1,                  0.995,                0.82348,                0.65019,                 1.1641,                 1.4828,              0.0008443,              0.0008443,              0.0008443
                     48,                0.68025,                 1.0963,                 1.2525,                0.84948,                      1,                0.95375,                0.79116,                  0.687,                 1.5281,                 1.6132,             0.00084678,             0.00084678,             0.00084678
                     49,                0.70477,                  1.203,                 1.3145,                0.84948,                      1,                0.95375,                0.79116,                  0.687,                 1.5281,                 1.6132,              0.0008486,              0.0008486,              0.0008486
                     50,                0.65954,                 1.1478,                 1.2371,                0.84405,                      1,                 0.9125,                0.74039,                0.80676,                 1.5926,                 1.7728,             0.00084975,             0.00084975,             0.00084975
                     51,                0.60673,                 1.1278,                 1.2088,                0.84405,                      1,                 0.9125,                0.74039,                0.80676,                 1.5926,                 1.7728,             0.00084184,             0.00084184,             0.00084184
                     52,                0.65669,                 1.1469,                 1.2638,                0.81561,                0.99569,                 0.9125,                0.60155,                 1.0566,                 1.9413,                 2.0824,             0.00084184,             0.00084184,             0.00084184
                     53,                0.63689,                 1.1634,                 1.1841,                0.81561,                0.99569,                 0.9125,                0.60155,                 1.0566,                 1.9413,                 2.0824,             0.00082533,             0.00082533,             0.00082533
                     54,                0.80185,                 1.2092,                 1.3655,                0.62822,                0.98835,                 0.9125,                0.63985,                 1.0405,                 1.9561,                 1.9373,             0.00080883,             0.00080883,             0.00080883
                     55,                0.69585,                 1.1873,                 1.2782,                0.62822,                0.98835,                 0.9125,                0.63985,                 1.0405,                 1.9561,                 1.9373,             0.00079233,             0.00079233,             0.00079233
                     56,                0.76568,                  1.317,                 1.3562,                0.89046,                0.98889,                  0.995,                0.74428,                0.78502,                 1.5744,                 1.6704,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.7249,                  1.195,                 1.3338,                0.89046,                0.98889,                  0.995,                0.74428,                0.78502,                 1.5744,                 1.6704,             0.00075932,             0.00075932,             0.00075932
                     58,                0.62275,                 1.1499,                 1.2407,                0.94389,                 0.9971,                  0.995,                0.69195,                0.89877,                 1.5708,                 1.7137,             0.00074282,             0.00074282,             0.00074282
                     59,                0.63316,                 1.0703,                 1.2362,                0.94389,                 0.9971,                  0.995,                0.69195,                0.89877,                 1.5708,                 1.7137,             0.00072631,             0.00072631,             0.00072631
                     60,                0.73094,                 1.2534,                 1.3323,                0.94734,                  0.984,                  0.995,                0.71972,                0.92249,                 1.6545,                 1.6316,             0.00070981,             0.00070981,             0.00070981
                     61,                0.68747,                 1.1512,                 1.2671,                0.94734,                  0.984,                  0.995,                0.71972,                0.92249,                 1.6545,                 1.6316,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.5808,                0.98288,                 1.1793,                0.94209,                      1,                  0.995,                 0.7709,                0.86947,                 1.4789,                  1.545,              0.0006768,              0.0006768,              0.0006768
                     63,                0.55461,                 1.0293,                 1.1763,                0.94209,                      1,                  0.995,                 0.7709,                0.86947,                 1.4789,                  1.545,              0.0006603,              0.0006603,              0.0006603
                     64,                0.55132,                0.98488,                  1.156,                0.93657,                0.97345,                  0.995,                0.84637,                0.73502,                 1.3706,                  1.485,              0.0006438,              0.0006438,              0.0006438
                     65,                0.56307,                0.98352,                 1.1536,                0.93657,                0.97345,                  0.995,                0.84637,                0.73502,                 1.3706,                  1.485,             0.00062729,             0.00062729,             0.00062729
                     66,                 0.6216,                   1.02,                 1.2031,                0.92207,                0.98404,                  0.995,                0.86832,                0.65965,                 1.3831,                 1.3732,             0.00061079,             0.00061079,             0.00061079
                     67,                0.56334,                 0.9415,                 1.1099,                0.92207,                0.98404,                  0.995,                0.86832,                0.65965,                 1.3831,                 1.3732,             0.00059429,             0.00059429,             0.00059429
                     68,                0.54865,                0.95284,                 1.1552,                0.87536,                0.83333,                0.95375,                0.77183,                0.67779,                 1.4878,                 1.3409,             0.00057778,             0.00057778,             0.00057778
                     69,                0.56163,                0.98855,                 1.1815,                0.87536,                0.83333,                0.95375,                0.77183,                0.67779,                 1.4878,                 1.3409,             0.00056128,             0.00056128,             0.00056128
                     70,                0.63192,                 1.1492,                 1.2394,                 0.8049,                0.94126,                  0.995,                0.82159,                0.70196,                 1.5308,                 1.3357,             0.00054478,             0.00054478,             0.00054478
                     71,                0.54003,                0.92396,                 1.1794,                 0.8049,                0.94126,                  0.995,                0.82159,                0.70196,                 1.5308,                 1.3357,             0.00052827,             0.00052827,             0.00052827
                     72,                0.60198,                0.98236,                  1.172,                0.70283,                0.97935,                  0.995,                0.84355,                0.70706,                 1.6787,                 1.3349,             0.00051177,             0.00051177,             0.00051177
                     73,                0.46745,                0.84762,                 1.0629,                0.70283,                0.97935,                  0.995,                0.84355,                0.70706,                 1.6787,                 1.3349,             0.00049527,             0.00049527,             0.00049527
                     74,                0.51455,                0.96431,                 1.1123,                0.72839,                      1,                  0.995,                0.88485,                0.69348,                 1.6527,                 1.3811,             0.00047876,             0.00047876,             0.00047876
                     75,                0.50698,                0.88572,                 1.0882,                0.72839,                      1,                  0.995,                0.88485,                0.69348,                 1.6527,                 1.3811,             0.00046226,             0.00046226,             0.00046226
                     76,                0.55606,                0.99325,                 1.1464,                0.80261,                0.83333,                0.95375,                0.76322,                0.69777,                 1.7266,                 1.3741,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.4999,                0.81975,                 1.1462,                0.80261,                0.83333,                0.95375,                0.76322,                0.69777,                 1.7266,                 1.3741,             0.00042925,             0.00042925,             0.00042925
                     78,                0.52985,                0.99671,                 1.1746,                0.75331,                0.97304,                0.95375,                0.75418,                0.62224,                 1.5571,                 1.3565,             0.00041275,             0.00041275,             0.00041275
                     79,                0.45353,                0.94455,                 1.0807,                0.75331,                0.97304,                0.95375,                0.75418,                0.62224,                 1.5571,                 1.3565,             0.00039625,             0.00039625,             0.00039625
                     80,                0.60002,                 1.0144,                 1.2879,                0.78935,                0.99654,                0.95375,                0.72925,                0.62574,                  1.437,                 1.3151,             0.00037974,             0.00037974,             0.00037974
                     81,                0.46721,                0.93756,                 1.1321,                0.78935,                0.99654,                0.95375,                0.72925,                0.62574,                  1.437,                 1.3151,             0.00036324,             0.00036324,             0.00036324
                     82,                0.61745,                 1.1112,                 1.3144,                 0.9696,                      1,                  0.995,                0.76917,                0.61155,                 1.2748,                 1.2823,             0.00034674,             0.00034674,             0.00034674
                     83,                0.47739,                0.87295,                 1.0977,                 0.9696,                      1,                  0.995,                0.76917,                0.61155,                 1.2748,                 1.2823,             0.00033023,             0.00033023,             0.00033023
                     84,                0.50411,                0.92774,                 1.0641,                0.98081,                      1,                  0.995,                0.76369,                0.63036,                 1.0898,                 1.2739,             0.00031373,             0.00031373,             0.00031373
                     85,                0.48429,                0.89438,                  1.116,                0.98081,                      1,                  0.995,                0.76369,                0.63036,                 1.0898,                 1.2739,             0.00029723,             0.00029723,             0.00029723
                     86,                0.45948,                0.85925,                 1.0465,                0.98524,                      1,                  0.995,                0.78021,                  0.613,                 1.0568,                 1.2384,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.4745,                0.87378,                  1.074,                0.98524,                      1,                  0.995,                0.78021,                  0.613,                 1.0568,                 1.2384,             0.00026422,             0.00026422,             0.00026422
                     88,                0.52547,                0.89917,                 1.1163,                0.98321,                      1,                  0.995,                 0.7914,                0.63028,                  1.055,                  1.252,             0.00024772,             0.00024772,             0.00024772
                     89,                0.48539,                0.88454,                 1.1221,                0.98321,                      1,                  0.995,                 0.7914,                0.63028,                  1.055,                  1.252,             0.00023121,             0.00023121,             0.00023121
                     90,                0.47285,                0.81941,                 1.0696,                0.96968,                      1,                  0.995,                0.79138,                0.65596,                 1.0386,                 1.2739,             0.00021471,             0.00021471,             0.00021471
                     91,                 0.3758,                 1.1424,                 1.0514,                0.96968,                      1,                  0.995,                0.79138,                0.65596,                 1.0386,                 1.2739,             0.00019821,             0.00019821,             0.00019821
                     92,                0.46936,                 1.3821,                 1.1132,                0.97564,                      1,                  0.995,                0.79672,                0.70411,                 1.0406,                 1.3498,              0.0001817,              0.0001817,              0.0001817
                     93,                0.37541,                  1.218,                 1.0469,                0.97564,                      1,                  0.995,                0.79672,                0.70411,                 1.0406,                 1.3498,              0.0001652,              0.0001652,              0.0001652
                     94,                0.36616,                 1.1646,                  1.052,                0.97012,                      1,                  0.995,                0.77991,                0.76796,                 1.1202,                 1.4019,              0.0001487,              0.0001487,              0.0001487
                     95,                0.35635,                 1.1868,                0.99928,                0.97012,                      1,                  0.995,                0.77991,                0.76796,                 1.1202,                 1.4019,             0.00013219,             0.00013219,             0.00013219
                     96,                0.36801,                 1.1605,                 1.0526,                0.97002,                      1,                  0.995,                0.74116,                0.82003,                 1.1626,                 1.4465,             0.00011569,             0.00011569,             0.00011569
                     97,                0.42366,                 1.2296,                 1.0647,                0.97002,                      1,                  0.995,                0.74116,                0.82003,                 1.1626,                 1.4465,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.3551,                 1.1673,                 1.0324,                0.96703,                      1,                  0.995,                0.78549,                0.82514,                 1.1732,                 1.4631,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.36672,                 1.1495,                 1.0225,                0.96703,                      1,                  0.995,                0.78549,                0.82514,                 1.1732,                 1.4631,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.42829,                 1.1859,                 1.0761,                 0.9353,                      1,                  0.995,                0.76349,                0.80494,                 1.1519,                 1.4422,             4.9677e-05,             4.9677e-05,             4.9677e-05
