                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93401,                 1.8428,                 1.5429,                0.59368,                   0.75,                0.81231,                0.48631,                 1.1179,                 2.1475,                 1.8324,             0.00064464,             0.00064464,             0.00064464
                     35,                 0.8978,                 1.7398,                 1.4727,                  0.645,                   0.75,                0.77294,                0.48027,                 1.1161,                 2.0777,                 1.8099,             0.00065412,             0.00065412,             0.00065412
                     36,                0.98725,                 1.9016,                 1.5663,                0.58777,                   0.75,                0.77251,                0.50123,                 1.0486,                  2.001,                 1.7227,             0.00066303,             0.00066303,             0.00066303
                     37,                0.91867,                 1.8806,                 1.5047,                0.58777,                   0.75,                0.77251,                0.50123,                 1.0486,                  2.001,                 1.7227,             0.00067138,             0.00067138,             0.00067138
                     38,                0.87107,                  1.685,                  1.487,                0.85522,                0.57053,                0.82139,                 0.5328,                0.97934,                 2.0045,                 1.6339,             0.00067917,             0.00067917,             0.00067917
                     39,                0.86833,                 1.6544,                  1.461,                0.86121,                 0.6534,                0.86167,                0.63682,                0.99774,                 1.8598,                 1.6232,             0.00068639,             0.00068639,             0.00068639
                     40,                0.84255,                  1.649,                  1.431,                0.86121,                 0.6534,                0.86167,                0.63682,                0.99774,                 1.8598,                 1.6232,             0.00069304,             0.00069304,             0.00069304
                     41,                0.89444,                 1.8173,                 1.5224,                0.95328,                0.63073,                  0.895,                0.67052,                 1.0177,                 1.7647,                 1.6528,             0.00069912,             0.00069912,             0.00069912
                     42,                0.90742,                 1.6099,                 1.3977,                0.95841,                0.65641,                0.77389,                0.53672,                 1.0807,                 1.7458,                 1.7504,             0.00070464,             0.00070464,             0.00070464
                     43,                0.85634,                 1.6092,                 1.4283,                0.95841,                0.65641,                0.77389,                0.53672,                 1.0807,                 1.7458,                 1.7504,              0.0007096,              0.0007096,              0.0007096
                     44,                0.80063,                 1.4435,                  1.412,                0.97254,                0.65696,                 0.7581,                0.51774,                  1.123,                 1.7564,                 1.7875,             0.00071399,             0.00071399,             0.00071399
                     45,                0.89735,                 1.6847,                 1.4576,                0.97254,                0.65696,                 0.7581,                0.51774,                  1.123,                 1.7564,                 1.7875,             0.00071781,             0.00071781,             0.00071781
                     46,                0.81136,                 1.4758,                  1.411,                0.89045,                0.66667,                0.74333,                0.51689,                 1.1046,                  1.775,                 1.7881,             0.00072107,             0.00072107,             0.00072107
                     47,                0.84762,                 1.5917,                  1.435,                0.89045,                0.66667,                0.74333,                0.51689,                 1.1046,                  1.775,                 1.7881,             0.00072376,             0.00072376,             0.00072376
                     48,                0.79264,                 1.5509,                 1.3829,                0.90115,                0.65672,                 0.8487,                0.62402,                 1.0823,                  1.834,                 1.7991,             0.00072588,             0.00072588,             0.00072588
                     49,                0.94792,                 1.5553,                 1.5176,                0.90115,                0.65672,                 0.8487,                0.62402,                 1.0823,                  1.834,                 1.7991,             0.00072744,             0.00072744,             0.00072744
                     50,                0.80611,                 1.5191,                 1.4111,                0.91387,                0.65692,                0.85333,                0.65717,                0.99126,                 1.8356,                 1.7019,             0.00072843,             0.00072843,             0.00072843
                     51,                0.85418,                 1.5071,                  1.429,                0.91387,                0.65692,                0.85333,                0.65717,                0.99126,                 1.8356,                 1.7019,             0.00072164,             0.00072164,             0.00072164
