                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1399,                 2.8978,                 1.7025,                0.52163,                      1,                0.82833,                0.59613,                0.79854,                 2.5346,                 1.2271,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.1395,                  2.608,                 1.7408,                0.52163,                      1,                0.82833,                0.59613,                0.79854,                 2.5346,                 1.2271,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.3548,                 2.7745,                 1.7677,                      1,                0.93048,                  0.995,                0.69609,                0.76325,                 2.3367,                 1.1987,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.1441,                 2.2463,                 1.6745,                      1,                0.93048,                  0.995,                0.69609,                0.76325,                 2.3367,                 1.1987,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.1305,                 2.2112,                 1.6219,                      1,                0.94032,                  0.995,                0.64613,                0.82636,                 2.1461,                 1.2469,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.3847,                  2.197,                 1.7174,                      1,                0.94032,                  0.995,                0.64613,                0.82636,                 2.1461,                 1.2469,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.0498,                 3.0142,                 1.6759,                      1,                0.96456,                  0.995,                0.69609,                0.84832,                 2.0441,                 1.2665,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.2445,                 2.2327,                 1.8856,                      1,                0.96456,                  0.995,                0.69609,                0.84832,                 2.0441,                 1.2665,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.0993,                 1.8993,                 1.6557,                      1,                0.97908,                  0.995,                  0.796,                 1.0075,                 1.9033,                  1.408,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.5129,                 2.7157,                  2.052,                      1,                0.97908,                  0.995,                  0.796,                 1.0075,                 1.9033,                  1.408,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.0009,                 2.2543,                 1.5871,                 0.9774,                      1,                  0.995,                0.72129,                  1.044,                 1.6516,                 1.4047,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.5065,                 3.2441,                  2.115,                 0.9774,                      1,                  0.995,                0.72129,                  1.044,                 1.6516,                 1.4047,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.0721,                 2.0261,                 1.6243,                0.98389,                      1,                  0.995,                0.74609,                0.84875,                 1.4401,                 1.2139,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.2891,                 2.6709,                  1.755,                0.98389,                      1,                  0.995,                0.74609,                0.84875,                 1.4401,                 1.2139,             0.00050262,             0.00050262,             0.00050262
