                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.57605,                 1.1886,                 1.1559,                0.98222,                      1,                  0.995,                0.80747,                0.74276,                 1.5646,                 1.4362,             0.00076306,             0.00076306,             0.00076306
                     36,                0.68263,                 1.4162,                 1.2704,                0.91819,                0.99113,                  0.995,                0.83505,                 0.6174,                 1.5005,                 1.2797,             0.00077346,             0.00077346,             0.00077346
                     37,                0.73098,                 1.4334,                 1.3556,                0.91819,                0.99113,                  0.995,                0.83505,                 0.6174,                 1.5005,                 1.2797,              0.0007832,              0.0007832,              0.0007832
                     38,                0.74127,                  1.389,                 1.2879,                0.92278,                      1,                  0.995,                0.83785,                0.62134,                 1.4898,                 1.2602,             0.00079228,             0.00079228,             0.00079228
                     39,                 0.6861,                 1.3385,                 1.2678,                0.94758,                      1,                  0.995,                0.79636,                0.73673,                 1.4983,                 1.4704,              0.0008007,              0.0008007,              0.0008007
                     40,                0.52762,                 1.1754,                  1.123,                0.94758,                      1,                  0.995,                0.79636,                0.73673,                 1.4983,                 1.4704,             0.00080846,             0.00080846,             0.00080846
                     41,                0.68901,                   1.24,                  1.316,                 0.9761,                      1,                  0.995,                 0.7195,                0.99978,                 1.3109,                 2.0214,             0.00081556,             0.00081556,             0.00081556
                     42,                0.65614,                  1.296,                 1.3034,                0.97876,                      1,                  0.995,                0.75807,                0.92604,                 1.2907,                 1.9013,               0.000822,               0.000822,               0.000822
                     43,                0.57525,                 1.1978,                 1.2064,                0.97876,                      1,                  0.995,                0.75807,                0.92604,                 1.2907,                 1.9013,             0.00082778,             0.00082778,             0.00082778
                     44,                 0.6656,                 1.2347,                 1.2617,                 0.9801,                      1,                  0.995,                0.85742,                0.83367,                 1.4803,                 1.6088,              0.0008329,              0.0008329,              0.0008329
                     45,                0.66714,                 1.2464,                 1.2467,                 0.9801,                      1,                  0.995,                0.85742,                0.83367,                 1.4803,                 1.6088,             0.00083736,             0.00083736,             0.00083736
                     46,                0.67505,                  1.307,                 1.2612,                0.85106,                      1,                0.95375,                0.75287,                0.85691,                 1.5426,                 1.6536,             0.00084116,             0.00084116,             0.00084116
                     47,                0.61143,                 1.1085,                 1.1766,                0.85106,                      1,                0.95375,                0.75287,                0.85691,                 1.5426,                 1.6536,              0.0008443,              0.0008443,              0.0008443
