                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.8578,                 3.8025,                 3.6754,                0.00337,                0.66667,                  0.007,                0.00152,                 2.5665,                 3.7781,                 4.3359,             0.00094179,             0.00094179,             0.00094179
                     35,                 2.8106,                 3.5519,                 3.6936,                0.00337,                0.66667,                0.00638,                0.00163,                 2.5124,                  3.777,                 4.2069,             0.00096942,             0.00096942,             0.00096942
                     36,                 2.9195,                 3.7508,                 3.6968,                0.00335,                0.66667,                0.00574,                0.00147,                  2.585,                 3.7709,                 4.2817,             0.00099701,             0.00099701,             0.00099701
                     37,                 2.8493,                 3.8113,                 3.6538,                0.00335,                0.66667,                0.00574,                0.00147,                  2.585,                 3.7709,                 4.2817,              0.0010246,              0.0010246,              0.0010246
                     38,                 2.7243,                 3.7118,                 3.6377,                0.00336,                0.66667,                0.00694,                0.00172,                 2.5741,                 3.7559,                 4.2025,              0.0010521,              0.0010521,              0.0010521
                     39,                 2.6679,                  3.481,                 3.5711,                0.00336,                0.66667,                0.00781,                0.00199,                 2.5847,                 3.7903,                 4.1604,              0.0010796,              0.0010796,              0.0010796
                     40,                 2.8169,                 3.5854,                  3.588,                0.00336,                0.66667,                0.00781,                0.00199,                 2.5847,                 3.7903,                 4.1604,              0.0011071,              0.0011071,              0.0011071
                     41,                  2.816,                 3.6622,                 3.6563,                 0.0029,                0.58333,                0.01174,                 0.0037,                 2.4456,                 3.8671,                 3.7626,              0.0011346,              0.0011346,              0.0011346
                     42,                 2.6866,                 3.4851,                 3.5179,                0.00336,                0.66667,                 0.0821,                0.02335,                 2.5438,                 3.7878,                 3.9234,               0.001162,               0.001162,               0.001162
                     43,                 2.8541,                 3.7422,                 3.5723,                0.00336,                0.66667,                 0.0821,                0.02335,                 2.5438,                 3.7878,                 3.9234,              0.0011894,              0.0011894,              0.0011894
                     44,                 2.6145,                 3.5946,                 3.4943,                0.00349,                0.66667,                0.01994,                0.00398,                 2.7706,                 3.7885,                 4.4752,              0.0012168,              0.0012168,              0.0012168
